title,stock_type,mileage,price,dealer_name,dealer_link
2021 Chevrolet Malibu LT,Used,"65,985 mi.","$17,998",CarMax Pleasant Hill,
2021 Toyota 4Runner Nightshade,Used,"28,700 mi.","$43,998",CarMax Albany,
2019 Ford Explorer ,Used,"78,925 mi.","$19,998",CarMax Manchester,
2018 Lincoln MKC Premiere,Used,"73,159 mi.","$17,998",CarMax Dayton,
2020 Dodge Charger Scat Pack,Used,"49,989 mi.","$38,998",CarMax Salisbury,
2022 Rivian R1S Launch Edition,Used,"10,850 mi.","$68,888",Jennings Chevy / VW,
2024 Audi S6 Prestige TFSI quattro Tiptronic,New,,"$86,850",Audi Morton Grove,
2014 Hyundai Equus Signature,Used,"90,153 mi.","$12,309",Glenview Luxury Imports,
2013 Dodge SRT Viper GTS,Used,"4,358 mi.","$137,991",Platinum Motorsports,
2011 Mazda Tribute i Sport,Used,"176,891 mi.","$4,999",KNB Motors Inc,
2017 Lexus IS 200t Base,Used,"23,962 mi.","$25,998",Golf Mill Ford,
2005 Toyota Avalon XL,Used,"56,400 mi.","$11,000",,
2000 Buick LeSabre Custom,Used,"82,000 mi.","$3,565",,
2015 BMW i3 Base w/Range Extender,Used,"64,000 mi.","$12,995",,
2021 BMW 530e Base,BMW Certified,"49,184 mi.","$31,492",McGrath BMW of Elmhurst,
2013 Hyundai Elantra GT Base,Used,"94,210 mi.","$8,990",McGrath BMW of Elmhurst,
1994 Chevrolet 1500 Fleetside,Used,"81,584 mi.","$15,888",The Eclectic Garage,
2013 Toyota Prius c Four,Used,"78,000 mi.","$11,995",Ali Luxury Motors,
1996 Jaguar XJ6 ,Used,"80,102 mi.","$6,995",Highline Auto Sales,
2015 Porsche Cayman S,Used,"17,784 mi.","$57,995",carneed,
2020 Mercedes-Benz GLB 250 Base,Used,"46,387 mi.","$27,885",Jidd Motors Mitsubishi,
2015 Lexus NX 200t F Sport,Used,"32,215 mi.","$23,441",Mercedes-Benz of Westmont,
2025 Lexus NX 350h Premium,New,,"$54,759",McGrath Lexus of Westmont,
2021 Volkswagen Atlas SE w/Tech,Used,"58,692 mi.","$27,998",CarMax Glencoe (Edens Expy),
2022 Porsche 718 Cayman S,Used,"8,657 mi.","$77,980",Ultimo Motors East,
2002 Aston Martin DB7 Vantage 2dr Cpe Manual,Used,"22,916 mi.","$37,990",Auto Gallery Chicago,
2024 Mercedes-Benz AMG GLA 35 Base,Mercedes-Benz Certified,"1,646 mi.","$49,994",Autohaus on Edens,
2016 Mercedes-Benz GLE-Class 4MATIC,Used,"49,501 mi.","$35,800",Ultimo Motors East,
2024 Mercedes-Benz EQB 300 Base 4MATIC,New,,"$62,880",Autohaus on Edens,
2024 Mercedes-Benz AMG C 63 Base,New,,"$97,650",Autohaus on Edens,
1989 BMW 525 i,Used,"159,222 mi.","$9,950",Zone Motors,
2007 Lexus GX 470 Base,Used,"185,576 mi.","$10,985",Alpha Luxury Motors,
2004 Lexus RX 330 Base,Used,"212,892 mi.","$4,945",Top Gear Motors,
2012 MINI Cooper S Base,Used,"108,443 mi.","$6,950",Chicago Motor Credit,
2004 Lexus RX 330 Base (A5),Used,"153,648 mi.","$5,995",Multi Autos,
2012 Volkswagen Touareg Sport w/Nav,Used,"120,800 mi.","$11,975",Chicago Motors Direct,
2016 Toyota Prius c One,Used,"76,734 mi.","$14,555",Star Motor Sales,
2016 Volkswagen Touareg VR6 Executive,Used,"76,670 mi.","$19,980",Driven Auto of Oak Forest,
2003 Porsche Boxster Base,Used,"43,302 mi.","$16,985",Star Auto Works,
2016 Buick Cascada Premium,Used,"17,551 mi.","$22,500",Packey Webb Ford,
2016 Chrysler 200 Limited,Used,"40,338 mi.","$14,791",Mercedes-Benz of Orland Park,
2020 Jeep Cherokee Limited,Used,"52,797 mi.","$22,149",Zeigler Nissan of Orland Park,
2021 Cadillac XT4 AWD Premium Luxury,Used,"41,072 mi.","$27,950",Family Hyundai,
1998 Chevrolet 1500 Fleetside,Used,"100,863 mi.","$19,995",London Motors Chicago,
1983 Oldsmobile Ninety-Eight Regency 2dr Coupe,Used,"88,574 mi.","$11,995",London Motors Chicago,
2014 Chevrolet Corvette Stingray Base,Used,"27,031 mi.","$39,895",Bettenhausen Fiat,
2012 Volkswagen Touareg TDI Sport,Used,"128,935 mi.","$11,995",EMH Motors,
2021 GMC Terrain SLT,GMC Certified,"35,045 mi.","$25,900",Jerry Haggerty Chevrolet,
1990 Nissan 300ZX GS,Used,"15,442 mi.","$25,995",D&M Motorsports,
2013 Dodge SRT Viper GTS,Used,"5,335 mi.","$137,995",D&M Motorsports,
2020 Chrysler Pacifica Touring-L Plus,Used,"40,797 mi.","$26,886",Tasca Chevrolet Wheeling,
2011 Nissan Altima Hybrid Base,Used,"162,000 mi.","$6,050",,
2017 Lamborghini Aventador LP700-4,Used,528 mi.,"$562,800",Diamond Motorworks,
1995 Toyota Supra SE Edition,Used,"55,031 mi.","$65,800",Diamond Motorworks,
2018 Toyota 86 Base,Used,"59,553 mi.","$24,995",Affinity Auto Sales,
2011 Toyota Sequoia Platinum,Used,"274,023 mi.","$15,995",Affinity Auto Sales,
2024 RAM ProMaster 2500 High Roof,New,,"$51,663",Thomas Dodge Chrysler Jeep RAM of Highland,
2022 Mercedes-Benz Maybach GLS 600 4MATIC,Used,"13,365 mi.","$127,895",Strada Motorsports,
2023 Nissan Rogue SV,Used,"25,209 mi.","$23,995",Auto Select,
2018 Lamborghini Aventador S S,Used,"18,000 mi.","$449,000",SAVAGE,
2024 RAM ProMaster 2500 High Roof,New,,"$51,635",Thomas Dodge Chrysler Jeep RAM of Highland,
2016 Lamborghini Aventador LP750-4 Superveloce,Used,"2,597 mi.","$594,895",Strada Motorsports,
2019 Chevrolet Silverado 1500 LD Work Truck,Used,"51,651 mi.","$25,998",CarMax Schaumburg,
1997 Audi Cabriolet Convertible 2D,Used,"115,641 mi.","$5,495",Auto Select,
